SOMBRILLA JAPONESA;Euphorbia pulcherrima
TABAQUILLO;Verbesina crassiramea
TAGUA;Galademdrom tagua
TE DE BOGOTA;Symplocos theiformis
TIBAR;Escallonia myrtilloides
TILO;Sambucus peruviana
TILO;Sparmarva africana
TINTO;Styloceras sp.
TOMATE DE ARBOL;Cyphomandra betacea
TORONJA;Solanum quitoense
TROMPETO;Bocconia frutencens
TROMPETO;Bocconia frutencens
TUNO ESMERALDO;Miconia squamulosa
TUNO ROSO;Axinaea macrophyla
URAPAN;Fraxinus chinensis
UVA DE ANIS;Cavendishia cordifolia
UVO DE PARAMO;Macleania rupestris
VENTUROSA;Lantana camara
YARUMO;Cecropia telenitida
